#{"t_start": 1539312131.6371417, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.147192
0.451,61,2.393421
0,100,2.798946
0,100,3.199701
0,100,3.597701
0,100,4.034173
0,100,4.454428
