#{"t_start": 1539312131.6513512, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.134666
0,100,2.538042
0,100,2.938651
0,100,3.339504
0,100,3.744126
0.784,24,3.854614
0,100,4.288555
