#{"t_start": 1539312131.624516, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.159884
0,100,2.563334
0,100,2.964938
0,100,3.36604
0,100,3.769225
0,100,4.20365
