#{"t_start": 1539312131.6265585, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.157761
0,100,2.561414
0,100,2.962816
0,100,3.364034
0,100,3.767302
0,100,4.201813
0.307,77,4.52891
