#{"t_start": 1539312131.6551027, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.131094
0,100,2.534497
0,100,2.936003
0,100,3.33802
0,100,3.740066
0,100,4.174178
