#{"t_start": 1539312131.6409225, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.14361
0,100,2.547034
0,100,2.950446
0,100,3.349723
0,100,3.752979
0,100,4.187361
