#{"t_start": 1539312131.645601, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.140326
0,100,2.54544
0,100,2.946345
0.37,70,3.226037
0,100,3.622617
0,100,4.059854
0,100,4.479388
