#{"t_start": 1539312131.6339114, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.150494
0,100,2.553949
0,100,2.955614
0,100,3.356556
0,100,3.760077
0,100,4.194455
0.847,17,4.270473
