#{"t_start": 1539312131.6432738, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.142897
0,100,2.545017
0,100,2.948711
0.217,87,3.297189
0,100,3.70019
0.487,57,3.957348
0,100,4.379497
