#{"t_start": 1539312131.6643155, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.12103
0,100,2.525162
0,100,2.927094
0,100,3.327638
0,100,3.730119
0,100,4.164422
