#{"t_start": 1539312131.6586459, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.127101
0,100,2.530608
0,100,2.931392
0,100,3.333676
0,100,3.736959
0,100,4.170555
