#{"t_start": 1539312131.6289034, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.155511
0,100,2.558992
0.154,94,2.937526
0,100,3.338488
0,100,3.742405
0,100,4.174611
