#{"t_start": 1539312131.6319203, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.152414
0,100,2.555905
0,100,2.957497
0,100,3.358737
0,100,3.761867
0.325,75,4.093114
0,100,4.513313
