#{"t_start": 1539312131.661618, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.123454
0,100,2.527809
0,100,2.929271
0,100,3.330528
0,100,3.733522
0,100,4.168216
