#{"t_start": 1539312131.6668217, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
0,100,2.119102
0,100,2.522788
0,100,2.92298
0,100,3.325257
0,100,3.727819
0,100,4.162462
